Food,Price,Units,Date,Location,Quantity,NDB
Organic Romaine Lettuce (100g),3.39,Per Romaine lettuce,[2019-02-22 Friday],,,
Cherry Tomatoes (100g),0.47,Oz,[2019-02-22 Friday],,,
Raw Arugula (100g),5.79,lb,[2019-02-22 Friday],,,
Raw Spinach (100g),0.92,oz,[2019-02-22 Friday],,,
Cilantro,1.79,each,[2019-02-22 Friday],,,
Broccoli,2.89,each,[2019-02-22 Friday],,,
Carrots,1.19,lb,[2019-02-22 Friday],,,
Organic Cucumber,1.79,each,[2019-02-22 Friday],,,
Organic Kale,2.89,each,[2019-02-22 Friday],,,
Green Bell Pepper,1.79,each,[2019-02-22 Friday],,,
Red Bell Pepper,2.29,each,[2019-02-22 Friday],,,
Chicken Breast,8.69,lb,[2019-02-22 Friday],,,
Lemon,1.19,each,[2019-02-22 Friday],,,
Beef Tri Tip Loin Roast,10.39,lb,[2019-02-22 Friday],,,
Pork,3.49,lb,[2019-02-22 Friday],,,
Fresh Atlantic Salmon Fillet ,14.99,lb,[2019-02-22 Friday],,,
Avocado,2.29,each,[2019-02-22 Friday],,,
Gala Apple,0.87,each,[2019-02-22 Friday],,,
Banana,0.26,each,[2019-02-22 Friday],,,
Orange,0.18,each,[2019-02-22 Friday],,,
Grapefruit,2.29,each,[2019-02-22 Friday],,,
Blackberry,9.19,each,[2019-02-22 Friday],,,
Cantaloupe,4.59,each,[2019-02-22 Friday],,,
Bosc Pear,0.89,each,[2019-02-22 Friday],,,
Kiwi,5.79,each,[2019-02-22 Friday],,,
Pineapple,3.49,each,[2019-02-22 Friday],,,
Blueberry,4.59,each,[2019-02-22 Friday],,,
Green Seedless Grapes,4.59,lb,[2019-02-22 Friday],,,
Mango,1.79,each,[2019-02-22 Friday],,,
Nectarine,1.42,each,[2019-02-22 Friday],,,
Tangerine,1.84,lb,[2019-02-22 Friday],,,
Signature Wheat bread,2.29,loaf,[2019-02-22 Friday],,,
Rice,1.16,lb,[2019-02-22 Friday],,,
Pasta,2.09,lb,[2019-02-22 Friday],,,
,,,,,,
Mandarin Orange chicken,,,[2019-02-22 Friday],,,
Sweet Potato Gnocchi,,,[2019-02-22 Friday],,,
Potstickers,,,[2019-02-22 Friday],,,
Cheese Pizza with a Cauliflower Crust,,,[2019-02-22 Friday],,,
Eggplant Cutlets,,,[2019-02-22 Friday],,,
Wonton Soup,,,[2019-02-22 Friday],,,
"Burrata, Prosciutto, and Arugula Pizza",,,[2019-02-22 Friday],,,
Vegan Tikka Masala,,,[2019-02-22 Friday],,,
Riced Cauliflower Stir Fry,,,[2019-02-22 Friday],,,
Chicken Burrito Bowls,,,[2019-02-22 Friday],,,
Meatless Meatballs,,,[2019-02-22 Friday],,,
Soup Dumplings,,,[2019-02-22 Friday],,,
Organic Brown Rice,,,[2019-02-22 Friday],,,
Carrot Spirals,,,[2019-02-22 Friday],,,
Japanese Style Fried Rice,,,[2019-02-22 Friday],,,
Honey Walnut Shrimp,,,[2019-02-22 Friday],,,
Kung Pao Tempura Cauliflower,,,[2019-02-22 Friday],,,
Chinese Pork Buns,,,[2019-02-22 Friday],,,
Broccoli Cheddar Quiche,,,[2019-02-22 Friday],,,
Chimichurri Rice,,,[2019-02-22 Friday],,,
Mini Chicken Tacos,,,[2019-02-22 Friday],,,
Garlic Naan,,,[2019-02-22 Friday],,,
Shells with Brie and Apsaragus,,,[2019-02-22 Friday],,,
BBQ Chicken Teriyaki,,,[2019-02-22 Friday],,,
Southwest Chicken Quesadillas,,,[2019-02-22 Friday],,,
Beef Steak Burritos,,,[2019-02-22 Friday],,,
Three Cheese Pizza,,,[2019-02-22 Friday],,,
Four Cheese Pizza,,,[2019-02-22 Friday],,,
Chicken and Mushroom Pelmeni,,,[2019-02-22 Friday],,,
Gnocchi alla Forrentina,,,[2019-02-22 Friday],,,
Shiitake Mushroom Chicken,,,[2019-02-22 Friday],,,
Honey Walnut Shrimp,,,[2019-02-22 Friday],,,
Pizza Margherita,,,[2019-02-22 Friday],,,
Chicken Enchiladas,,,[2019-02-22 Friday],,,
Vegetable Burritos,,,[2019-02-22 Friday],,,
Yellow Jackfruit Curry with Jasmine Rice,,,[2019-02-22 Friday],,,
Ricotta and Spinach Tortellini,,,[2019-02-22 Friday],,,
Gnocchi al Gorgonzola,,,[2019-02-22 Friday],,,
Fettuccine with Mushrooms,,,[2019-02-22 Friday],,,
Vegetable Biryani,,,[2019-02-22 Friday],,,
Chicken Chow Mein,,,[2019-02-22 Friday],,,
Spinach and Ricotta Pizza,,,[2019-02-22 Friday],,,
Chicken Pot Pie,,,[2019-02-22 Friday],,,
Lamb Vindaloo,,,[2019-02-22 Friday],,,
Spelt Risotto,,,[2019-02-22 Friday],,,
Vegetable Pad Thai,,,[2019-02-22 Friday],,,
Reduced-Guilt Baked Ziti,,,[2019-02-22 Friday],,,
Reduced-Guilt Mac and Cheese,,,[2019-02-22 Friday],,,
Kung Pao Chicken,,,[2019-02-22 Friday],,,
Channa Masala,,,[2019-02-22 Friday],,,
Beef and Broccoli,,,[2019-02-22 Friday],,,
Hatch Chile Mac and Cheese,,,[2019-02-22 Friday],,,
Chicken Fried Rice,,,[2019-02-22 Friday],,,
Chicken and Vegetable Wonton Soup,,,[2019-02-22 Friday],,,
Stacked Eggplant Parmesan,,,[2019-02-22 Friday],,,
Roasted Vegetable Multi-Grain Lasagna,,,[2019-02-22 Friday],,,
Family Style Meat Lasagna,,,[2019-02-22 Friday],,,
Seafood Paella,,,[2019-02-22 Friday],,,
Pepperoni Pizza Mac and Cheese Bowl,,,[2019-02-22 Friday],,,
Butter Chicken,,,[2019-02-22 Friday],,,
Riced Cauliflower Stir Fry,,,[2019-02-22 Friday],,,
Four Cheese Mac â€˜n Cheese,,,[2019-02-22 Friday],,,
Shrimp Stir-Fry,,,[2019-02-22 Friday],,,
"Burrata, Prosciutto, and Arugula Flatbread",,,[2019-02-22 Friday],,,
Chicken Burrito Bowl,,,[2019-02-22 Friday],,,
Paneer Tikka Masala,,,[2019-02-22 Friday],,,
Vegetable Panang Curry,,,[2019-02-22 Friday],,,
Sriracha Shrimp Bowl,,,[2019-02-22 Friday],,,
Spicy Thai Shrimp Fried Rice,,,[2019-02-22 Friday],,,